标题,出发日期,天数,城市,路线,人数,玩法,费用,阅读数,点赞数,评论数
平潭，厦门，福州7日游,2023-10-12 出发,共7天,,,家庭,海滨海岛 赏秋,人均2400元,136,0,0
【西班牙】科卡〡探索西班牙中世纪古城,2023-10-17 出发,共1天,,,,探险,,2317,0,0
小鲁面の济南·我和杜苏芮的“双人成行”『省时省力的精华线路』,2023-07-28 出发,共1天,济南,山东博物馆>趵突泉景区>泉城广场>解放阁>黑虎泉>宽厚里>曲水亭街>大明湖景区,,美食,,2440,2,0
小鲁面の漫游辽西古都·品味锦绣之州『三日自驾辽宁锦州』,2023-06-22 出发,共1天,锦州,北普陀山>辽沈战役纪念馆>古塔公园>广济寺,,漫游 自驾,,3634,3,0
小鲁面の请听我讲述关于秋的故事🍁『深度自驾伊春＆五大连池』,2023-09-29 出发,共1天,伊春>五大连池,金山鹿苑>温泊,,自驾 探险,,3543,2,0
一条大河波浪宽，风吹稻花香两岸——烟台、大连、沈阳、丹东之行,2023-09-30 出发,共1天,,,,,,3200,4,0
大美新疆，五天简游，好看好吃好留恋,2023-10-02 出发,共1天,阜康>博乐>伊犁>乌鲁木齐,天山天池>赛里木湖>那拉提草原,,美食,,4059,3,0
一起去阿尔山赏秋吧~~金灿灿的那种,2023-10-09 出发,共1天,阿尔山Aershan,阿尔山国家森林公园,,温泉 赏秋,,3893,1,0
世间有多美好，去一趟新疆就知道了,2023-09-28 出发,共8天,乌鲁木齐>布尔津>克拉玛依>博乐,新疆国际大巴扎>红山公园>五彩滩>四季美食夜市>禾木风景区>喀纳斯景区>神仙湾...,三五好友,深度游 国庆,,5326,8,0
呼和浩特暴走文艺三日游,2023-09-16 出发,共1天,呼和浩特,内蒙古博物院>绥远城将军衙署>清公主府>公主府公园>青城公园>塞上老街>大召寺...,,购物 美食,,4376,1,0
日照行‖有一种心情叫突然想去看海,2023-08-31 出发,共4天,日照>上海,灯塔风景区>日照喜来登酒店>万平口风景区>潮汐塔>同济大学>日照世帆赛基地>日照海...,三五好友,美食 海滨海岛 短途周末 摄影 夏季,人均4500元,5985,4,0
国庆十一6天游,2023-10-01 出发,共6天,苏州>昆山>上海,诚品书店>One Mind全心灵国际冥想俱乐部>东方之门>苏州吴中万达美华酒店>苏州博物馆...,家庭,国庆 第一次,人均4750元,1217,5,0
【西安-华山】一波三折的华山之行,2023-09-15 出发,共4天,华阴>西安,华山>玉泉院>秦始皇帝陵博物院(兵马俑)>北峰>西峰>西岳庙>华山南峰>华清宫>骊山...,家庭,深度游 温泉,人均1800元,104,1,0
豫章故郡，九派浔阳——南昌九江行,2023-09-29 出发,共8天,南昌>庐山市,万寿宫>滕王阁>绳金塔>南昌站,家庭,国庆 第一次,人均1800元,681,1,0
